,Year,Category,Sales review,Review_counts
0,2015,Furniture,Cao,120
1,2015,Furniture,Siêu Cao,185
2,2015,Furniture,Thấp,45
3,2015,Furniture,Trung Bình,64
12,2016,Furniture,Cao,141
13,2016,Furniture,Siêu Cao,187
14,2016,Furniture,Thấp,42
15,2016,Furniture,Trung Bình,70
24,2017,Furniture,Cao,162
25,2017,Furniture,Siêu Cao,238
26,2017,Furniture,Thấp,50
27,2017,Furniture,Trung Bình,97
36,2018,Furniture,Cao,206
37,2018,Furniture,Siêu Cao,278
38,2018,Furniture,Thấp,71
39,2018,Furniture,Trung Bình,122
